iter	Passed	Remaining
179	365	1667
180	368	1668
181	370	1665
182	372	1661
183	374	1660
184	376	1656
185	377	1652
186	379	1649
187	380	1645
188	382	1639
189	383	1633
190	384	1627
191	385	1621
192	386	1616
193	387	1610
194	388	1604
195	390	1600
196	391	1597
197	395	1599
198	396	1595
199	397	1591
200	398	1585
201	399	1580
202	401	1574
203	402	1569
204	403	1564
205	405	1562
206	407	1561
207	409	1557
208	410	1553
209	411	1548
210	413	1544
211	414	1540
212	416	1537
213	417	1532
214	420	1535
215	422	1533
216	424	1529
217	425	1527
218	427	1524
219	429	1521
220	430	1517
221	431	1513
222	433	1510
223	435	1509
224	437	1507
225	439	1505
226	441	1502
227	442	1498
228	443	1494
229	445	1489
230	448	1492
231	450	1490
232	452	1488
233	453	1484
234	454	1480
235	456	1477
236	457	1473
237	459	1470
238	460	1466
239	463	1467
240	465	1465
241	466	1462
242	467	1457
243	469	1453
244	470	1449
245	471	1445
246	472	1440
247	473	1436
248	475	1434
249	477	1431
250	478	1428
251	479	1424
252	481	1421
253	482	1416
254	483	1412
255	484	1408
256	485	1403
257	486	1399
258	488	1396
259	489	1393
260	491	1390
261	492	1387
262	493	1383
263	494	1379
264	496	1378
265	498	1375
266	500	1373
267	503	1374
268	504	1372
269	506	1369
270	507	1366
271	509	1363
272	510	1360
273	512	1358
274	514	1356
275	516	1355
276	518	1352
277	519	1349
278	521	1347
279	523	1345
280	524	1342
281	526	1339
282	527	1335
283	528	1331
284	530	1331
285	532	1328
286	533	1325
287	534	1321
288	536	1319
289	537	1316
290	538	1312
291	539	1308
292	540	1304
293	541	1300
294	542	1297
295	543	1293
296	545	1292
297	547	1289
298	548	1286
299	549	1282
300	550	1278
301	551	1274
302	552	1270
303	553	1267
304	554	1263
305	555	1260
306	556	1256
307	557	1253
308	558	1249
309	560	1246
310	561	1244
311	562	1241
312	564	1238
313	565	1235
314	566	1231
315	567	1228
316	568	1224
317	569	1221
318	570	1217
319	571	1214
320	572	1211
321	573	1208
322	574	1204
323	575	1201
324	576	1197
325	577	1194
326	578	1191
327	579	1187
328	580	1184
329	581	1180
330	582	1177
331	583	1174
332	584	1170
333	585	1167
334	586	1164
335	587	1161
336	589	1159
337	590	1156
338	591	1153
339	592	1150
340	593	1147
341	594	1144
342	595	1141
343	596	1138
344	597	1135
345	598	1131
346	599	1128
347	601	1126
348	602	1123
349	603	1120
350	604	1118
351	605	1115
352	606	1112
353	607	1109
354	608	1106
355	610	1103
356	611	1100
357	612	1097
358	613	1094
359	614	1091
360	615	1089
361	616	1087
362	618	1084
363	619	1081
364	620	1078
365	621	1076
366	622	1073
367	623	1071
368	625	1068
369	626	1066
370	627	1063
371	628	1060
372	629	1058
373	630	1055
374	631	1053
375	633	1050
376	634	1048
377	635	1045
378	636	1042
379	637	1039
380	638	1037
381	639	1035
382	641	1032
383	642	1030
384	644	1028
385	645	1027
386	647	1024
387	648	1022
388	649	1020
389	650	1018
390	652	1015
391	653	1013
392	654	1010
393	655	1007
394	656	1005
395	657	1003
396	658	1000
397	660	998
398	661	995
399	662	993
400	663	990
401	664	987
402	665	985
403	665	982
404	666	979
405	667	977
406	668	974
407	669	971
408	670	969
409	672	967
410	673	964
411	674	962
412	675	960
413	676	957
414	677	955
415	678	953
416	679	950
417	680	948
418	681	945
419	682	942
420	683	940
421	684	937
422	686	935
423	687	933
424	688	931
425	689	929
426	690	926
427	691	924
428	692	922
429	693	919
430	694	917
431	695	914
432	696	912
433	697	909
434	698	907
435	699	905
436	701	903
437	702	901
438	703	898
439	704	896
440	705	893
441	706	891
442	707	888
443	708	886
444	709	884
445	710	882
446	711	880
447	712	877
448	713	875
449	714	873
450	716	871
451	717	869
452	718	867
453	719	865
454	720	863
455	722	861
456	723	859
457	724	857
458	726	855
459	727	853
460	728	851
461	729	850
462	731	848
463	732	846
464	733	844
465	735	842
466	736	840
467	737	838
468	738	836
469	740	835
470	741	832
471	742	831
472	744	829
473	745	827
474	746	825
475	747	823
476	749	821
477	750	819
478	751	817
479	752	815
480	753	813
481	754	811
482	755	808
483	756	806
484	758	804
485	759	803
486	760	801
487	761	799
488	762	797
489	764	795
490	765	793
491	766	791
492	768	789
493	769	787
494	772	787
495	773	786
496	775	784
497	776	782
498	778	781
499	779	779
500	780	777
501	782	775
502	783	773
503	785	772
504	787	771
505	788	769
506	789	767
507	790	765
508	792	764
509	793	762
510	795	760
511	796	758
512	797	756
513	798	754
514	799	753
515	801	751
516	802	749
517	803	747
518	805	746
519	806	744
520	807	742
521	809	740
522	810	739
523	815	740
524	818	740
525	819	738
526	821	737
527	822	735
528	824	733
529	825	731
530	826	729
531	827	728
532	829	726
533	831	725
534	832	723
535	833	721
536	834	719
537	835	717
538	837	715
539	838	714
540	839	712
541	840	710
542	842	708
543	843	707
544	845	705
545	846	703
546	847	702
547	849	700
548	850	698
549	851	696
550	852	694
551	853	693
552	855	691
553	856	689
554	858	688
555	859	686
556	860	684
557	861	682
558	863	680
559	864	679
560	865	677
561	866	675
562	867	673
563	870	672
564	872	671
565	873	669
566	874	667
567	875	666
568	877	664
569	878	662
570	880	661
571	881	659
572	882	657
573	883	655
574	885	654
575	887	653
576	888	651
577	889	649
578	890	647
579	892	645
580	893	644
581	894	642
582	896	641
583	897	639
584	899	638
585	900	636
586	902	634
587	903	633
588	905	631
589	906	629
590	908	628
591	909	626
592	910	625
593	912	623
594	913	621
595	915	620
596	916	618
597	918	617
598	919	615
599	921	614
600	922	612
601	923	610
602	925	609
603	927	608
604	929	606
605	930	605
606	931	603
607	932	601
608	934	600
609	936	598
610	937	597
611	939	595
612	941	594
613	942	592
614	944	590
615	945	589
616	946	587
617	947	585
618	949	584
619	950	582
620	951	580
621	952	578
622	953	577
623	955	575
624	956	574
625	958	572
626	959	570
627	960	568
628	961	567
629	962	565
630	964	563
631	965	561
632	966	560
633	967	558
634	969	557
635	970	555
636	971	553
637	973	552
638	974	550
639	975	548
640	977	547
641	978	545
642	979	543
643	980	541
644	981	540
645	983	539
646	985	537
647	986	535
648	988	534
649	989	532
650	990	530
651	991	529
652	992	527
653	993	525
654	994	523
655	996	522
656	997	520
657	998	519
658	1000	517
659	1001	515
660	1002	514
661	1003	512
662	1005	510
663	1006	509
664	1007	507
665	1009	506
666	1012	505
667	1013	503
668	1014	502
669	1016	500
670	1017	498
671	1018	497
672	1019	495
673	1021	493
674	1023	492
675	1025	491
676	1026	489
677	1027	488
678	1028	486
679	1029	484
680	1030	482
681	1032	481
682	1033	479
683	1034	477
684	1035	476
685	1036	474
686	1039	473
687	1040	471
688	1041	470
689	1042	468
690	1043	466
691	1044	465
692	1045	463
693	1046	461
694	1047	459
695	1048	458
696	1049	456
697	1050	454
698	1052	453
699	1053	451
700	1055	450
701	1056	448
702	1057	446
703	1058	444
704	1059	443
705	1060	441
706	1061	439
707	1062	438
708	1063	436
709	1064	434
710	1065	433
711	1067	431
712	1068	430
713	1069	428
714	1070	426
715	1071	425
716	1072	423
717	1073	421
718	1075	420
719	1076	418
720	1077	416
721	1078	415
722	1079	413
723	1081	412
724	1082	410
725	1083	409
726	1084	407
727	1085	405
728	1086	404
729	1087	402
730	1088	400
731	1089	399
732	1090	397
733	1091	395
734	1092	394
735	1094	392
736	1095	391
737	1097	389
738	1098	387
739	1099	386
740	1100	384
741	1101	383
742	1102	381
743	1103	379
744	1104	378
745	1105	376
746	1106	374
747	1108	373
748	1110	372
749	1111	370
750	1112	368
751	1113	367
752	1114	365
753	1115	364
754	1116	362
755	1117	360
756	1118	359
757	1119	357
758	1120	355
759	1121	354
760	1123	352
761	1124	351
762	1126	349
763	1127	348
764	1128	346
765	1129	344
766	1130	343
767	1131	341
768	1132	340
769	1133	338
770	1133	336
771	1134	335
772	1136	333
773	1137	332
774	1139	330
775	1140	329
776	1141	327
777	1142	326
778	1143	324
779	1144	322
780	1145	321
781	1146	319
782	1147	317
783	1148	316
784	1149	314
785	1150	313
786	1152	311
787	1153	310
788	1154	308
789	1155	307
790	1156	305
791	1157	304
792	1159	302
793	1161	301
794	1162	299
795	1163	298
796	1165	296
797	1167	295
798	1168	294
799	1169	292
800	1170	290
801	1171	289
802	1173	287
803	1174	286
804	1176	284
805	1177	283
806	1178	281
807	1179	280
808	1180	278
809	1182	277
810	1183	275
811	1185	274
812	1186	272
813	1187	271
814	1188	269
815	1189	268
816	1190	266
817	1191	265
818	1192	263
819	1193	261
820	1194	260
821	1196	258
822	1197	257
823	1198	256
824	1199	254
825	1200	252
826	1201	251
827	1202	249
828	1203	248
829	1204	246
830	1205	245
831	1206	243
832	1208	242
833	1210	240
834	1211	239
835	1212	237
836	1213	236
837	1214	234
838	1215	233
839	1216	231
840	1217	230
841	1218	228
842	1219	227
843	1220	225
844	1221	224
845	1223	222
846	1224	221
847	1225	219
848	1227	218
849	1228	216
850	1229	215
851	1230	213
852	1231	212
853	1232	210
854	1233	209
855	1234	207
856	1235	206
857	1236	204
858	1238	203
859	1240	201
860	1241	200
861	1242	198
862	1243	197
863	1244	195
864	1245	194
865	1246	192
866	1247	191
867	1248	189
868	1249	188
869	1250	186
870	1251	185
871	1253	183
872	1254	182
873	1255	181
874	1256	179
875	1257	178
876	1258	176
877	1260	175
878	1261	173
879	1262	172
880	1263	170
881	1264	169
882	1265	167
883	1266	166
884	1267	164
885	1269	163
886	1270	161
887	1271	160
888	1272	158
889	1273	157
890	1274	155
891	1275	154
892	1276	152
893	1277	151
894	1278	149
895	1279	148
896	1280	147
897	1282	145
898	1283	144
899	1284	142
900	1285	141
901	1286	139
902	1287	138
903	1288	136
904	1289	135
905	1290	133
906	1291	132
907	1292	130
908	1293	129
909	1295	128
910	1296	126
911	1298	125
912	1299	123
913	1300	122
914	1301	120
915	1302	119
916	1303	117
917	1304	116
918	1305	115
919	1306	113
920	1307	112
921	1309	110
922	1310	109
923	1312	107
924	1313	106
925	1314	105
926	1315	103
927	1316	102
928	1317	100
929	1318	99
930	1319	97
931	1320	96
932	1321	94
933	1322	93
934	1324	92
935	1325	90
936	1326	89
937	1328	87
938	1329	86
939	1330	84
940	1331	83
941	1332	82
942	1333	80
943	1334	79
944	1335	77
945	1336	76
946	1337	74
947	1338	73
948	1339	72
949	1341	70
950	1342	69
951	1343	67
952	1344	66
953	1345	64
954	1346	63
955	1347	62
956	1348	60
957	1349	59
958	1350	57
959	1352	56
960	1353	54
961	1355	53
962	1356	52
963	1357	50
964	1358	49
965	1359	47
966	1360	46
967	1361	45
968	1362	43
969	1363	42
970	1364	40
971	1365	39
972	1367	37
973	1369	36
974	1370	35
975	1371	33
976	1372	32
977	1373	30
978	1374	29
979	1375	28
980	1376	26
981	1377	25
982	1378	23
983	1379	22
984	1380	21
985	1382	19
986	1383	18
987	1384	16
988	1385	15
989	1386	14
990	1387	12
991	1388	11
992	1389	9
993	1390	8
994	1391	6
995	1392	5
996	1393	4
997	1394	2
998	1396	1
999	1397	0
